Euro Truck Simulator 2,"12 Oct, 2012",97,-75%,"4,99€","19,99€",1,1,1
Horizon Zero Dawn™ Complete Edition,"7 Aug, 2020",87,-75%,"12,49€","49,99€",1,0,0
EA SPORTS FC™ 24,"28 Sep, 2023",57,-50%,"34,99€","69,99€",1,0,0
Hell Let Loose,"27 Jul, 2021",84,-35%,"29,24€","44,99€",1,0,0
Tom Clancy's Ghost Recon® Breakpoint,"23 Jan, 2023",69,-80%,"11,99€","59,99€",1,0,0
Cyberpunk 2077: Phantom Liberty,"25 Sep, 2023",89,-15%,"25,49€","29,99€",1,0,0
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",86,-60%,"7,99€","19,99€",1,0,0
American Truck Simulator,"2 Feb, 2016",96,-75%,"4,99€","19,99€",1,1,1
Last Train Home,"28 Nov, 2023",84,-15%,"33,99€","39,99€",1,0,0
Ancestors Legacy,"22 May, 2018",80,-90%,"3,49€","34,99€",1,0,0
"Warhammer 40,000: Darktide","30 Nov, 2022",65,-35%,"25,99€","39,99€",1,0,0
Cyberpunk 2077 & Phantom Liberty Bundle,,82,-13%,"78,64€","89,98€",1,0,0
Frostpunk,"24 Apr, 2018",92,-80%,"5,99€","29,99€",1,0,1
Dying Light,"21 Apr, 2016",95,-80%,"9,99€","49,99€",1,1,1
SnowRunner,"17 May, 2021",89,-50%,"14,99€","29,99€",1,0,1
Phasmophobia,"18 Sep, 2020",96,-10%,"10,43€","11,59€",1,0,0
Diplomacy is Not an Option,"9 Feb, 2022",85,-20%,"16,79€","20,99€",1,0,0
King Arthur: Knight's Tale,"26 Apr, 2022",83,-60%,"17,99€","44,99€",1,0,0
STAR WARS Jedi: Survivor™,"27 Apr, 2023",65,-45%,"38,49€","69,99€",1,0,0
"Warhammer 40,000: Gladius - Relics of War","12 Jul, 2018",81,-90%,"4,08€","40,86€",1,1,0
Metro Saga Bundle,,89,-89%,"9,07€","84,96€",1,0,0
Frostpunk: Game of the Year Edition,,91,-80%,"12,75€","64,96€",1,0,1
Ancestors Legacy - Complete Edition,,80,-91%,"5,00€","57,96€",1,0,0
A Plague Tale: Innocence,"14 May, 2019",93,-80%,"7,99€","39,99€",1,0,0
Hades,"17 Sep, 2020",98,-50%,"12,25€","24,50€",1,0,1
We Were Here Forever,"10 May, 2022",91,-45%,"9,89€","17,99€",1,0,0
Baltic Bundle,,97,-73%,"17,51€","65,96€",1,1,1
Inscryption,"19 Oct, 2021",96,-50%,"9,99€","19,99€",1,1,1
Dragon's Dogma: Dark Arisen,"15 Jan, 2016",89,-84%,"4,79€","29,99€",1,0,0
Mediterranean Bundle,,97,-70%,"22,27€","73,96€",1,1,1
Thief Simulator,"9 Nov, 2018",88,-90%,"1,95€","19,50€",1,0,1
Days Gone,"17 May, 2021",92,-75%,"12,49€","49,99€",1,0,0
Diablo® IV,"17 Oct, 2023",68,-40%,"41,99€","69,99€",1,0,0
Slime Rancher 2,"22 Sep, 2022",94,-25%,"21,36€","28,49€",1,0,0
Hogwarts Legacy,"10 Feb, 2023",92,-40%,"35,99€","59,99€",1,0,0
Metro Exodus,"14 Feb, 2020",89,-80%,"5,99€","29,99€",1,1,1
Euro Truck Simulator 2 - Beyond the Baltic Sea,"29 Nov, 2018",91,-66%,"6,11€","17,99€",1,1,1
Aliens: Fireteam Elite,"23 Aug, 2021",81,-67%,"9,89€","29,99€",1,0,0
Balkans Bundle,,97,-58%,"27,61€","65,96€",1,1,1
Car Mechanic Simulator 2021,"11 Aug, 2021",96,-45%,"13,47€","24,50€",1,0,0
Ghosts of Tabor,"20 Mar, 2023",80,-10%,"22,49€","24,99€",1,0,0
Jurassic World Evolution 2,"9 Nov, 2021",87,-70%,"17,99€","59,99€",1,0,0
CarX Drift Racing Online,"17 Nov, 2017",95,-50%,"7,39€","14,79€",1,0,0
The Exit 8,"29 Nov, 2023",94,-10%,"3,59€","3,99€",1,0,0
Sid Meier’s Civilization® VI,"20 Oct, 2016",85,-90%,"5,99€","59,99€",1,1,1
NBA 2K24,"7 Sep, 2023",15,-55%,"26,99€","59,99€",1,0,0
Euro Truck Simulator 2 - Scandinavia,"14 May, 2015",95,-66%,"6,11€","17,99€",1,1,1
Great Plains Calling! Bundle,,89,-42%,"52,27€","89,93€",1,1,1
A Plague Tale: Requiem,"17 Oct, 2022",91,-55%,"22,49€","49,99€",1,0,0
TEVI,"29 Nov, 2023",92,-10%,"26,09€","28,99€",1,0,0
Quasimorph,"2 Oct, 2023",77,-10%,"17,99€","19,99€",1,0,0
Medieval Dynasty,"23 Sep, 2021",90,-25%,"22,49€","29,99€",1,0,0
Apocalypse Party,"30 Nov, 2023",71,-10%,"8,99€","9,99€",1,0,0
Combat Mission Battle for Normandy Complete,,79,-46%,"89,39€","165,57€",1,0,0
Panzer Corps 2,"19 Mar, 2020",84,-60%,"15,59€","38,99€",1,0,0
Automobilista 2,"30 Jun, 2020",91,-50%,"18,49€","36,99€",1,1,0
Sid Meier’s Civilization® VI Anthology,,84,-88%,"24,89€","209,85€",1,0,1
Soulash 2,"4 Dec, 2023",,-10%,"15,74€","17,49€",1,0,0
Drug Dealer Simulator,"16 Apr, 2020",87,-81%,"3,19€","16,79€",1,0,0
Slime Rancher & Slime Rancher 2 Bundle,,97,-53%,"22,18€","47,48€",1,0,0
Euro Truck Simulator 2 - Iberia,"8 Apr, 2021",76,-50%,"8,99€","17,99€",1,1,1
Slime Rancher,"1 Aug, 2017",97,-75%,"4,74€","18,99€",1,1,1
Party Animals,"20 Sep, 2023",74,-30%,"12,59€","17,99€",1,0,0
PlateUp!,"4 Aug, 2022",96,-50%,"9,75€","19,50€",1,0,0
